user_id,variation
6712,treatment
694,treatment
1571,control
1007,treatment
5631,control
8225,treatment
7223,control
2482,treatment
3362,control
2563,control
2195,treatment
1754,treatment
796,treatment
4647,treatment
9936,control
8045,control
4446,control
7033,control
7088,treatment
2088,treatment
5676,treatment
1875,treatment
892,treatment
3384,treatment
9858,treatment
1896,control
1189,treatment
3462,treatment
7501,control
9705,treatment
809,treatment
9740,treatment
7786,control
8752,control
2826,treatment
2093,control
3826,control
479,treatment
5118,control
6753,control
9484,control
5763,control
2278,control
271,treatment
2492,control
872,treatment
4613,control
3949,control
6914,treatment
5408,treatment
7150,treatment
8262,control
2954,control
8509,control
2800,treatment
9588,treatment
5608,control
7196,control
1541,treatment
5826,treatment
4564,control
1218,control
649,treatment
4900,control
8608,treatment
2840,treatment
6077,control
2997,control
7846,treatment
344,control
323,control
1967,treatment
3576,control
6621,treatment
9502,control
2859,treatment
1406,control
8308,treatment
7221,treatment
2184,control
5202,control
7781,control
6358,treatment
4931,control
5235,control
4887,control
3429,treatment
7581,treatment
7372,control
8574,control
2597,control
9049,treatment
1348,control
3986,control
6336,control
4445,treatment
7009,control
3425,control
7338,treatment
3692,treatment
7431,treatment
5873,control
1123,treatment
2298,treatment
6338,control
4993,treatment
8319,treatment
2342,treatment
9491,control
7855,treatment
4634,treatment
7871,control
9917,control
8012,treatment
6220,treatment
5477,control
7827,control
6462,control
6749,treatment
3912,treatment
3663,control
2543,treatment
8269,treatment
4424,treatment
5205,control
9401,treatment
6065,control
249,treatment
8044,control
1196,treatment
1955,treatment
3874,control
6592,control
1154,treatment
9823,treatment
4964,treatment
9565,treatment
8088,treatment
547,control
5449,treatment
2700,treatment
3325,treatment
7353,treatment
9526,control
4622,treatment
9274,control
9731,control
4352,treatment
7467,treatment
8556,treatment
1458,control
1036,treatment
9975,control
1817,control
903,control
2710,treatment
2657,control
7537,control
9998,treatment
1963,treatment
8492,control
9754,control
5393,treatment
1533,control
671,treatment
117,treatment
6832,control
2075,treatment
2827,treatment
8337,treatment
7071,control
8910,control
1970,treatment
1612,treatment
9398,treatment
9319,treatment
6418,control
3611,treatment
6652,treatment
3055,control
4794,control
4652,control
5399,control
6917,treatment
9096,treatment
2331,control
7241,control
6186,treatment
4600,treatment
6852,treatment
8129,control
5149,control
5212,control
4779,treatment
4498,control
862,control
7936,control
5922,control
6661,control
5719,control
9590,control
9899,treatment
3963,control
9651,control
5201,treatment
3080,treatment
7000,treatment
1302,control
767,treatment
9008,control
6595,control
8299,treatment
5244,treatment
5733,treatment
362,control
5429,control
8288,control
3539,control
5977,control
9082,control
2134,control
7753,control
1366,control
4457,treatment
5361,control
2754,control
8108,treatment
8006,treatment
395,treatment
8200,treatment
8369,treatment
610,treatment
721,control
6379,treatment
1435,treatment
246,control
1736,treatment
9177,treatment
242,treatment
7275,treatment
4346,control
3054,control
8487,treatment
6190,control
2358,control
315,treatment
1821,control
8429,treatment
8703,treatment
2199,control
182,control
9350,control
17,treatment
262,control
7091,treatment
4627,control
3961,control
650,control
332,treatment
8190,treatment
8010,treatment
9357,control
9532,treatment
2890,treatment
5641,treatment
5454,treatment
3883,control
3260,control
4834,control
1641,control
5670,control
9143,treatment
4731,treatment
2372,control
6744,control
9176,treatment
1318,control
4160,control
2417,treatment
9918,control
1987,treatment
3522,control
7082,control
8900,control
5407,control
1902,treatment
4599,control
78,control
5966,control
5392,treatment
3470,treatment
9603,treatment
978,treatment
3432,control
6347,treatment
2844,control
9796,control
9264,treatment
1716,treatment
1627,treatment
617,treatment
7780,treatment
2245,control
3888,treatment
922,treatment
4071,control
3740,treatment
6487,control
2987,control
9245,treatment
752,treatment
3428,control
2988,control
3162,treatment
2353,treatment
505,treatment
8500,treatment
7788,control
7851,treatment
8495,treatment
1325,control
34,control
4008,control
8832,treatment
740,control
8491,treatment
1171,treatment
9757,treatment
9711,control
4389,treatment
5551,treatment
7454,treatment
3605,control
9238,control
2835,treatment
93,control
3661,treatment
5714,treatment
9834,control
5293,treatment
7860,treatment
937,control
8603,control
7553,control
9000,control
6803,control
7265,treatment
3422,treatment
1607,control
7721,control
9875,control
5230,control
7388,control
1861,control
8229,treatment
4851,treatment
7967,treatment
317,control
7613,control
2072,treatment
1574,control
614,control
8312,treatment
3113,treatment
5474,treatment
3370,treatment
2440,control
8807,treatment
2546,control
6799,treatment
4754,control
6628,control
2966,control
4919,treatment
690,treatment
91,control
1330,treatment
7411,control
7080,treatment
9361,treatment
442,control
8263,treatment
2446,treatment
58,treatment
9768,treatment
7293,control
8097,control
9322,control
638,control
3240,treatment
6848,control
1668,control
5751,treatment
3872,treatment
5679,control
8870,treatment
2157,control
1275,control
2676,treatment
5526,treatment
8267,control
1233,treatment
5709,treatment
9242,control
1733,treatment
2630,treatment
3256,control
6921,treatment
2908,control
1120,control
3151,treatment
4244,treatment
6987,control
8250,treatment
2062,control
8499,control
9766,control
6322,treatment
6664,control
9864,control
1195,control
3563,treatment
2603,control
829,control
454,control
3011,treatment
8872,control
4005,control
6922,control
4690,control
9714,control
8053,control
6675,control
7373,treatment
7019,control
8075,treatment
7434,control
76,control
9620,control
7308,control
4402,control
8592,control
9627,treatment
2815,control
3812,control
8998,treatment
3500,treatment
655,control
5151,treatment
8309,treatment
1437,control
9240,treatment
9730,control
167,control
7556,treatment
9078,control
3620,treatment
4515,control
8541,control
2877,treatment
7355,control
3796,treatment
1717,treatment
75,control
1912,treatment
4536,control
7347,treatment
8664,control
9732,treatment
8188,control
2260,treatment
4829,control
6472,treatment
1602,treatment
7724,control
1776,control
3360,treatment
55,treatment
7242,control
8155,control
6306,treatment
4189,treatment
3847,treatment
7555,treatment
5750,control
8604,treatment
3449,control
320,control
5485,treatment
489,treatment
2125,treatment
6211,treatment
6206,treatment
3140,treatment
86,treatment
1068,treatment
295,control
5525,treatment
6237,control
851,treatment
229,control
838,control
6157,treatment
8218,treatment
5686,control
7782,treatment
1428,control
3964,control
2588,control
282,treatment
3094,control
9171,control
7037,control
2303,treatment
9345,control
8623,treatment
3780,treatment
4355,control
5089,control
1611,treatment
6016,control
169,control
6530,treatment
2986,treatment
4280,treatment
3814,control
5658,treatment
8995,control
2448,control
4609,control
5049,control
9378,control
3077,control
3709,control
2089,treatment
1077,treatment
4462,treatment
9616,control
2265,control
2073,treatment
3766,treatment
4836,control
4296,control
9424,treatment
8748,treatment
875,control
5002,treatment
816,treatment
4500,treatment
7455,treatment
9392,treatment
7588,treatment
4096,treatment
1309,treatment
2216,treatment
1878,control
3271,treatment
5585,control
8112,treatment
5225,treatment
7787,control
8131,treatment
603,treatment
3529,treatment
8289,control
2787,control
8519,control
6349,control
5327,control
9089,treatment
1223,control
9501,treatment
6406,control
3095,control
3935,control
8141,treatment
6619,treatment
7165,control
9003,treatment
7557,treatment
7235,treatment
5402,control
7857,treatment
9543,control
827,treatment
5078,control
46,treatment
5682,treatment
4375,treatment
2197,treatment
8855,control
1067,treatment
1799,control
2105,treatment
4574,control
6415,treatment
1682,control
504,treatment
4116,treatment
6889,control
8662,treatment
305,control
2952,control
4387,treatment
6582,control
409,treatment
9414,control
5644,control
8001,control
9018,treatment
733,control
1215,control
4954,control
7387,treatment
4356,treatment
8390,control
2838,control
9087,control
3876,treatment
4493,control
1126,treatment
3846,control
3112,control
3724,control
9004,control
3456,treatment
7681,treatment
2203,treatment
8,treatment
3013,control
731,control
2174,treatment
1525,control
8433,treatment
3875,treatment
612,control
7170,control
1835,treatment
4533,treatment
281,treatment
2944,treatment
2648,control
7749,control
4568,treatment
4516,control
3711,control
3578,control
8793,control
2406,treatment
5042,treatment
405,control
7286,treatment
6931,treatment
7008,treatment
803,control
411,control
6875,control
5661,treatment
3739,treatment
6419,control
2539,control
7117,control
5943,control
1600,control
4971,control
9212,control
8970,control
4043,treatment
7208,treatment
5425,control
5034,control
8514,treatment
4927,control
5776,treatment
2014,control
6144,treatment
51,control
5740,control
345,control
6424,treatment
2403,treatment
6506,treatment
1127,control
5148,treatment
7945,control
287,control
9615,treatment
2357,treatment
6788,treatment
3930,treatment
4386,control
946,control
3717,treatment
6400,control
2721,control
4351,treatment
1113,control
4268,treatment
8671,treatment
2796,control
2064,control
4842,control
9062,treatment
2975,treatment
6127,treatment
6609,control
9409,treatment
9204,treatment
8086,treatment
8962,treatment
9995,control
6836,treatment
6810,control
9715,treatment
2598,control
7292,treatment
3924,treatment
4591,treatment
2491,treatment
6993,treatment
2652,control
2308,control
1002,control
4540,treatment
2175,control
5792,treatment
4294,treatment
4136,control
6099,treatment
8919,treatment
4078,treatment
8990,treatment
7351,control
8930,treatment
2621,control
4342,control
8082,treatment
1454,control
965,treatment
8513,treatment
9661,control
8636,control
3184,treatment
3099,control
385,treatment
5029,control
754,control
1382,treatment
5045,control
9454,control
6897,control
7804,control
2481,control
5145,treatment
7872,treatment
3495,control
2917,treatment
5413,control
9404,treatment
4480,treatment
9193,treatment
6128,treatment
1651,treatment
4109,control
8533,control
9095,control
9276,control
1287,control
4548,treatment
243,treatment
2337,control
5009,treatment
8102,treatment
9669,treatment
7638,control
6143,treatment
3784,treatment
7670,treatment
6998,treatment
1263,control
4196,control
3577,treatment
4637,control
556,control
5039,treatment
2165,treatment
7018,control
4394,control
3990,treatment
4680,treatment
7214,control
8046,control
5282,control
705,control
1831,control
3507,treatment
4057,control
8586,control
1321,treatment
7760,control
1832,treatment
5427,control
497,control
3792,control
5374,treatment
3002,treatment
7917,control
9007,treatment
1418,treatment
5110,control
8669,treatment
3509,control
9495,treatment
8317,treatment
1653,control
9733,treatment
4760,treatment
5546,control
2822,control
188,treatment
6100,treatment
9833,control
3485,control
6184,control
6480,control
2418,treatment
9902,treatment
8033,control
3730,control
5369,treatment
9026,control
2465,treatment
4491,treatment
971,treatment
7988,treatment
8347,control
159,control
3744,treatment
8834,treatment
4314,treatment
4664,treatment
3988,control
1003,control
5960,treatment
744,treatment
5008,control
5667,control
2010,control
6731,treatment
4322,control
3154,control
3173,treatment
7499,treatment
1926,treatment
2263,treatment
5634,control
8043,treatment
9870,control
7617,control
1973,treatment
3481,treatment
3475,treatment
8018,control
5908,control
2688,treatment
3294,treatment
1982,control
5318,treatment
6769,control
2381,control
7525,control
2571,control
3601,control
1488,control
9468,control
5713,treatment
1777,control
1044,control
7194,control
4312,treatment
4249,control
6245,control
7696,control
5906,control
7022,treatment
3808,control
7839,control
5343,control
6757,control
4579,control
1524,treatment
306,control
5004,control
196,treatment
7932,control
7459,control
1846,control
4074,treatment
3503,control
7511,treatment
5660,control
74,treatment
7188,control
5832,treatment
4929,treatment
2428,control
5957,treatment
8418,control
41,control
4265,control
4113,treatment
3424,treatment
1531,control
2561,treatment
1470,control
6726,control
5160,treatment
6135,control
7513,control
5846,treatment
5695,treatment
3404,control
3869,treatment
574,control
6796,control
5484,control
4,treatment
4256,control
3722,treatment
5723,treatment
441,control
9,treatment
5576,treatment
2939,treatment
8507,treatment
7482,control
1554,control
1833,control
6704,control
3534,treatment
1311,control
4285,treatment
5528,treatment
7920,control
9239,control
2612,control
847,control
1408,treatment
2208,control
5694,control
7332,control
3759,control
3478,treatment
6335,treatment
4510,treatment
1125,control
3104,control
711,treatment
2049,treatment
5809,control
6018,control
1276,control
934,treatment
2818,control
7357,treatment
9584,treatment
4025,treatment
6079,control
4228,control
4041,control
5672,treatment
2128,control
9427,treatment
8236,treatment
4725,control
142,treatment
5539,control
2776,control
8476,treatment
9205,treatment
7025,treatment
5891,treatment
722,treatment
9762,treatment
2848,treatment
5590,control
1800,treatment
683,control
8451,treatment
9349,treatment
3836,control
8820,treatment
4502,control
9185,control
1850,control
991,control
7393,treatment
6662,control
3447,treatment
8234,treatment
618,control
3264,treatment
4998,control
3169,control
1121,control
3807,control
5152,treatment
8976,control
4391,control
3233,treatment
998,control
9040,treatment
5168,control
6746,treatment
5161,control
3469,treatment
1785,control
6839,control
2736,control
1516,treatment
5772,control
640,control
1964,treatment
4100,treatment
6771,control
9821,treatment
5715,control
1842,treatment
1760,control
9386,control
7869,control
9611,control
6296,treatment
5976,control
5831,control
4246,treatment
8235,control
1824,treatment
932,control
4170,treatment
9813,treatment
1626,control
8790,control
3592,control
3914,control
6649,control
1956,control
8244,treatment
1332,treatment
6203,treatment
7719,control
4154,treatment
9968,treatment
2540,control
4002,control
9379,treatment
1380,control
4161,treatment
3166,control
5421,control
3718,treatment
2085,control
1376,control
6927,treatment
8528,control
4595,treatment
6289,treatment
1586,control
5949,treatment
7163,control
6529,treatment
8826,control
4363,control
6080,control
6994,treatment
7302,control
6084,treatment
7346,treatment
8991,control
7216,treatment
5636,control
9910,control
2434,control
7506,control
5892,control
3232,treatment
8767,control
1719,treatment
4524,treatment
7725,control
9474,treatment
3147,control
4409,control
2232,control
4912,control
8143,control
1592,control
6252,treatment
8479,control
6488,treatment
8020,treatment
2764,control
5866,control
416,control
2771,treatment
7307,control
9174,control
3712,treatment
7350,control
5342,treatment
7618,treatment
12,treatment
8481,control
9194,treatment
7369,treatment
4053,control
2137,treatment
9819,treatment
3721,control
9340,treatment
1542,control
2958,treatment
3882,control
7113,control
2048,treatment
7402,control
4349,control
3698,treatment
8325,control
5,treatment
1425,control
8197,treatment
8643,control
2158,treatment
9451,treatment
5274,treatment
11,control
6006,treatment
314,control
8691,control
686,control
1509,treatment
1445,control
3205,control
4526,control
9079,control
795,control
2647,treatment
9137,control
1228,treatment
2464,control
1536,control
124,treatment
2141,treatment
4655,treatment
220,treatment
1617,control
2592,control
6815,control
6906,control
6630,control
9676,control
4323,control
511,treatment
2132,control
4242,control
4112,treatment
4336,control
4433,treatment
3101,treatment
9218,control
4738,control
9397,treatment
413,control
8950,control
8883,control
5462,treatment
1557,control
6399,control
1984,control
8527,control
9403,control
9682,treatment
2847,treatment
6412,control
8202,control
3801,control
7805,treatment
3528,treatment
5942,control
1621,control
1153,treatment
6559,control
8560,control
1517,treatment
4082,treatment
6544,control
6907,control
3728,control
7652,control
2913,treatment
8179,treatment
2965,control
4630,treatment
2803,control
3480,control
9596,treatment
852,treatment
7213,control
4190,control
2665,treatment
7894,treatment
1526,control
2552,treatment
1424,control
134,treatment
7682,control
6627,treatment
9373,control
871,control
1028,control
3221,control
1951,treatment
8576,control
3848,control
9810,control
1745,treatment
2444,control
9835,control
9116,control
5241,control
1510,treatment
1292,treatment
3556,control
6519,control
7218,treatment
6637,treatment
100,control
3477,control
3631,treatment
6517,control
9668,control
8472,control
9359,treatment
2209,control
4255,treatment
8916,control
7172,control
7547,control
7930,treatment
6063,control
6201,treatment
2251,control
4435,control
9113,control
1060,treatment
6124,treatment
2469,control
6925,control
3045,control
6748,treatment
3025,treatment
3945,treatment
4081,treatment
2017,control
3141,treatment
6064,treatment
2526,control
1588,treatment
1936,treatment
5285,treatment
5621,control
9455,treatment
2534,treatment
4326,treatment
8078,control
1822,control
9013,treatment
6859,treatment
546,treatment
1943,control
3505,control
3695,control
1534,treatment
2853,treatment
3687,control
8330,treatment
1316,control
4828,treatment
6175,control
6373,treatment
1146,control
9377,treatment
9248,treatment
6435,treatment
9088,treatment
9139,control
4381,treatment
9053,treatment
3284,control
6894,treatment
2470,control
1532,treatment
3772,control
5755,control
7628,control
2726,control
9443,treatment
391,control
9336,treatment
2586,control
3312,treatment
5543,treatment
9243,treatment
9395,control
4763,control
6477,treatment
3349,control
1931,treatment
4143,control
7159,control
421,treatment
1938,control
5972,treatment
9544,treatment
9033,treatment
7491,treatment
3689,treatment
1507,control
3831,control
1996,control
9353,control
3561,control
6688,treatment
6745,treatment
3979,treatment
5330,control
941,treatment
2084,control
3051,control
3371,control
9339,treatment
6309,treatment
1185,control
4578,treatment
4955,treatment
1841,control
8558,control
218,treatment
5855,treatment
8975,control
4697,treatment
3459,control
8216,control
2816,treatment
2595,treatment
3195,control
6961,treatment
5538,treatment
3488,treatment
6409,treatment
9816,control
6119,control
4293,control
6299,control
7277,treatment
3774,control
4676,control
1181,control
8673,treatment
1648,treatment
5292,treatment
9896,treatment
525,control
3204,control
2656,control
2762,control
6634,control
2429,treatment
709,control
6607,control
6440,treatment
1601,treatment
4978,control
4050,control
263,treatment
3089,control
2300,treatment
968,control
3618,treatment
6813,treatment
3237,control
1894,treatment
9562,treatment
5952,treatment
115,treatment
8934,control
2562,treatment
3376,treatment
8856,treatment
4602,treatment
9189,treatment
2881,control
3957,treatment
5259,treatment
1160,control
2173,treatment
6431,control
7587,control
8036,control
3572,control
2312,control
2222,treatment
6759,treatment
2257,control
2487,treatment
9396,treatment
592,control
4835,control
9302,treatment
9134,control
2740,treatment
1815,control
639,treatment
6877,treatment
85,control
3040,treatment
7890,treatment
7863,control
2018,control
7731,treatment
9905,control
2593,treatment
2510,treatment
5822,control
1499,treatment
1796,treatment
5066,control
1910,treatment
1373,control
8977,control
1055,treatment
4786,treatment
1307,control
5759,treatment
4451,control
1975,control
8094,treatment
5167,treatment
3511,control
7946,treatment
4577,treatment
9745,control
5430,treatment
2236,treatment
9375,treatment
5442,treatment
6697,control
7656,treatment
3815,treatment
7634,treatment
1087,control
5420,control
7140,treatment
7422,treatment
2077,treatment
3436,treatment
5418,control
1589,control
5323,treatment
6847,control
7657,treatment
2741,treatment
5747,control
8843,control
256,treatment
8964,treatment
4934,treatment
7841,treatment
9889,treatment
2574,control
1188,control
5132,control
7909,control
7507,control
432,treatment
4310,treatment
1040,control
7994,control
1083,treatment
7362,control
5880,control
8336,control
9764,control
404,treatment
5341,control
5761,treatment
3630,control
5448,control
8416,treatment
8237,treatment
8788,treatment
2833,treatment
7940,treatment
2411,treatment
566,treatment
3012,control
6342,control
7756,control
3549,control
6568,control
636,control
4733,control
9939,treatment
2043,control
8201,control
4030,treatment
7790,control
3171,treatment
7382,control
1886,treatment
5018,treatment
2505,treatment
5848,control
8238,control
5310,control
434,control
4772,treatment
6052,treatment
1761,control
1343,control
4800,treatment
9224,treatment
5104,treatment
4710,treatment
812,control
1391,control
2849,treatment
7852,control
65,treatment
3995,treatment
6855,treatment
9556,treatment
7955,treatment
301,control
8568,treatment
8439,treatment
3381,control
5401,control
4532,treatment
5233,control
6407,treatment
1854,control
1486,treatment
2770,treatment
4707,control
5183,treatment
2659,treatment
2752,control
7156,treatment
2606,treatment
171,control
3329,treatment
605,control
4703,treatment
6558,control
8705,control
4525,control
7445,control
4130,control
3799,treatment
455,control
2535,treatment
5033,treatment
5093,treatment
8313,control
2493,control
9179,control
8015,control
1129,treatment
3397,control
3619,treatment
9387,control
906,control
5643,treatment
139,treatment
9683,treatment
742,control
6591,control
5229,treatment
5115,treatment
508,treatment
9135,control
2873,treatment
2631,treatment
4709,control
9499,treatment
1614,control
3116,control
6959,treatment
8704,control
765,control
2250,control
7795,treatment
2619,control
3161,control
1317,treatment
4857,treatment
2620,control
5562,treatment
2415,control
6610,treatment
6002,control
6533,control
431,control
1814,treatment
9792,treatment
6114,treatment
316,control
82,treatment
2882,control
4297,control
7316,treatment
8315,treatment
7559,control
8913,control
8182,treatment
2204,treatment
9761,control
2149,treatment
2354,treatment
9252,treatment
7963,treatment
9765,control
4918,treatment
9122,control
3767,control
9635,control
6564,control
3777,control
4367,treatment
290,treatment
874,control
598,treatment
6659,control
7183,treatment
8985,control
6945,control
1678,treatment
1671,treatment
9080,control
4530,control
8903,treatment
227,control
7435,control
9680,control
7094,treatment
6029,treatment
3408,control
7278,treatment
5138,treatment
7439,treatment
4726,control
3005,treatment
1691,treatment
1273,control
4094,control
7672,treatment
5126,control
1173,treatment
2,treatment
9263,control
3110,control
1199,treatment
1095,treatment
440,control
3219,treatment
7394,treatment
4746,treatment
283,control
6473,control
1345,control
419,control
620,control
5988,treatment
5752,treatment
8657,control
9924,treatment
4730,control
7612,control
3959,control
6527,treatment
6443,control
949,control
4766,treatment
8443,treatment
2627,treatment
5637,treatment
2029,treatment
333,treatment
9857,control
5503,control
3058,control
2646,treatment
2739,treatment
6572,control
6639,control
9865,control
2640,treatment
3106,treatment
7164,treatment
5617,treatment
4635,treatment
9255,control
6765,treatment
4778,control
5974,control
3431,control
9542,control
7824,treatment
7026,control
6417,control
6153,treatment
3272,control
2019,treatment
4015,treatment
3023,control
9629,control
8763,control
2315,treatment
599,control
4274,control
8496,control
3705,control
2172,treatment
7923,treatment
3650,treatment
5920,control
5198,control
3542,treatment
270,control
1863,control
4368,treatment
6525,control
8758,treatment
7174,control
704,control
2682,control
8409,treatment
6758,treatment
6438,control
5859,treatment
1086,treatment
7447,treatment
3044,control
9619,treatment
7720,treatment
6109,treatment
601,control
9851,control
7912,control
4295,control
4426,treatment
9492,treatment
5573,control
1560,treatment
7660,treatment
3640,control
4055,control
2435,treatment
6694,treatment
128,treatment
9692,treatment
5199,treatment
3452,control
7220,control
1933,treatment
4095,control
4662,control
9470,treatment
7927,treatment
491,treatment
5936,control
3081,treatment
8888,treatment
2669,control
2225,treatment
2410,treatment
5272,treatment
4076,treatment
3304,treatment
6070,treatment
3292,treatment
8241,treatment
502,control
5921,control
9354,control
9485,treatment
8555,control
9522,treatment
6603,treatment
1791,control
9117,control
9230,control
9152,control
211,treatment
8909,control
4749,treatment
1759,treatment
5375,control
7789,control
9738,treatment
5609,treatment
1566,control
3575,treatment
9420,control
2449,treatment
4619,treatment
9155,control
5823,treatment
8601,control
7391,control
2030,control
5818,treatment
8684,treatment
1848,control
3791,control
145,treatment
1898,control
319,control
5623,treatment
8424,treatment
9244,treatment
6071,control
8358,control
6669,treatment
1413,control
7531,control
2262,treatment
5267,treatment
9293,treatment
3928,treatment
7128,control
7649,treatment
3402,treatment
4298,treatment
8470,treatment
6935,treatment
506,treatment
8281,treatment
7627,treatment
3029,control
48,control
4713,treatment
5178,control
8839,treatment
9742,control
5103,control
1783,control
1069,treatment
7803,treatment
1124,treatment
9569,control
9872,treatment
8818,control
2219,treatment
8016,treatment
2163,treatment
247,control
8779,treatment
6522,control
4120,treatment
1141,treatment
3566,control
3188,control
7675,treatment
9828,control
15,treatment
1074,control
1092,control
898,treatment
6235,control
5783,treatment
4884,treatment
4611,control
3215,control
4384,control
3359,control
5047,treatment
1166,control
6461,control
2392,treatment
2637,control
56,control
8672,control
6103,control
630,treatment
9687,treatment
5853,control
5237,treatment
6974,treatment
2999,control
6702,treatment
53,treatment
840,control
1829,treatment
8756,control
9657,treatment
9525,control
6463,treatment
1649,control
8440,control
931,control
7305,control
3341,treatment
2007,control
4606,treatment
8124,control
